1,,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
2,0,32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,UK,White
3,1,28.0,Female,Master's,Data Analyst,3.0,65000.0,USA,Hispanic
4,2,45.0,Male,PhD,Senior Manager,15.0,150000.0,Canada,White
5,3,36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,USA,Hispanic
6,4,52.0,Male,Master's,Director,20.0,200000.0,USA,Asian
7,5,29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,USA,Hispanic
8,6,42.0,Female,Master's,Product Manager,12.0,120000.0,USA,Asian
9,7,31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,China,Korean
10,8,26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,China,Chinese
11,9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,Australia,Australian
12,10,29.0,Male,Master's,Software Developer,3.0,75000.0,UK,Welsh
13,11,48.0,Female,Bachelor's,HR Manager,18.0,140000.0,UK,Asian
14,12,35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,China,Korean
15,13,40.0,Female,Master's,Project Manager,14.0,130000.0,USA,African American
16,14,27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,Canada,Asian
17,15,44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,China,Chinese
18,16,33.0,Female,Master's,Marketing Manager,7.0,90000.0,USA,Asian
19,17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,UK,Mixed
20,18,25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,UK,Asian
21,19,51.0,Male,Bachelor's,Sales Director,22.0,180000.0,Australia,Asian
22,20,34.0,Female,Master's,Business Analyst,5.0,80000.0,China,Korean
23,21,47.0,Male,Master's,VP of Operations,19.0,190000.0,UK,White
24,22,30.0,Male,Bachelor's,IT Support,2.0,50000.0,UK,Asian
25,23,36.0,Female,Bachelor's,Recruiter,9.0,60000.0,China,White
26,24,41.0,Male,Master's,Financial Manager,13.0,140000.0,USA,African American
27,25,28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,Canada,White
28,26,37.0,Female,Master's,Software Manager,11.0,110000.0,Australia,Asian
